id,question,A,B,C,D,answer
634,______ গ্রেটিং হচ্ছে আলোর উৎসকে বিশ্লেষনের একটি কৌশল।,অপবর্তন,প্রতিসরণ,প্রতিফলন,কোনোটিই নয়,A
635,একটি কনার উপর `vecF = ( 3hati + 4hatj - 2hatk)` বল প্রয়োগে কনাটির `vecr = ( 6hati - 2hatj + hatk)` সরন হয়।বল দ্বারা সম্পাদিত কাজের পরিমান কত?,( 9i + 2j - k)j,8j,(-3i + 6j -3k) j,32j,B
636,একটি সমান্তরাল পাত ধারকের দুই প্লেটের মাঝে ডাই ইলেকট্রিক পদার্থ ঢুকালে তার সঞ্চিত শক্তি পাচগুণ বৃদ্ধি পায় । ঐ পদার্থের ডাই ইলেকট্রিক ধ্রুবকের মান-,5-Jan,25-Jan,5,25,C
637,নিচের কোনটি তাপগতিবিদ্যার অন্তর্ভুক্ত নয়?,চাপ প্রয়োগে গ্যাসকে সংকুচিত করা,একটি পানি পূর্ণ পাত্রে একটি চক্র সজোরে ঘুরানো,তাপ প্রয়োগে বরফ গলানো,একটি পানিপূর্ণ পাত্র ভূপৃষ্ঠ থেকে উপরে উঠানো,D
638,যে যন্ত্রের সাহায্যে কোন বর্তনীর তড়িৎ প্রবাহ মাপা হয় তাকে কি বলে?,অ্যামিটার,ভোল্টমিটার,গ্যাল্ভানোমিটার,কোনটিই নয়,A
639,কোন মাধ্যমে 640 Hz ও 480 Hz কম্পাংকের দুটি শব্দ তরঙ্গের তরঙ্গদৈর্ঘ্যর পার্থক্য 1 m হলে ঐ মাধ্যমের শব্দ তরঙ্গের বেগ হবে-,8120 m/s,1820 m/s,1920 m/s,9120 m/s,C
640,কোন পদার্থের রোধের উষ্ণতা সহগ ঋণাত্মক?,অ্যালুমিনিয়াম,তামা,থার্মিস্টর,টাংস্টেন,C
641,300 Hz কম্পাঙ্কের একটি শব্দ তরঙ্গের পানি ও বাতাসে তরঙ্গদৈর্ঘ্যের পার্থক্য 4.16 m। শব্দের গতি বাতাসে 352 ms-1 হলে পানিতে শব্দের গতি কত? , 800 ms-1,1200 ms-1,1600 ms-1,1800 ms-1,C
642,"দুটি সমান দৈর্ঘ্যের তারের ব্যাসার্ধের অনুপাত 1:5 । এদের উপর সমান বল প্রয়োগ করা হলো। যদি তার দুটির দৈর্ঘ্য বৃদ্ধির অনুপাত 2:3 হয়, তাহলে ইয়ং গুণাঙ্কের অনুপাত কত?",4:03,75:02:00,3:24,74:05:00,B
643,কোনটি কাজের মাত্রা সমীকরণ?,MLT-1,MLT-2,ML2T-2,LT-2,C
644,কোনটি ফেরোচৌম্বিক পদার্থ -,অ্যালুমিনিয়াম (Al),অ্যান্টিমনি (Sb),কোবাল্ট (Co),সবগুলো,C
645,ফারেনহাইট স্কেলের কোন তাপমাত্র সেন্টিগ্রেড স্কেলের পাঠের দ্বিগুণ?,-80°,-40°,160°,320°,C
646,একটি পর্দা থেকে 30cm দূরে একটি মোমবাতি রাখা আছে। পর্দার উপর মোমবাতির একটি 3 গুণ বিবর্ধিত বিশ্ব পেতে হলে তোমাকে কত ফোকাস দূরত্বের দর্পণ ব্যবহার করতে হবে?,-22.5 cm,11.25 cm,5.63 cm,None of these,B
647,স্লাইড ক্যালিপার্সের সাহায্যে কোন একটি গোলকের ব্যাস মাপতে গিয়ে প্রধান স্কেল পাঠ পাওয়া গেল 1.5 সেন্টিমিটার এবং ভার্নিয়ার পাঠ পাওয়া গেল 6 সেন্টিমিটার। ভার্নিয়ার ধ্রুবক 0.01 সেন্টিমিটার হলে গোলকের পৃষ্ঠের ক্ষেত্রফল হবে-,7.65 বর্গ সেন্টিমিটার,5.67 বর্গ সেন্টিমিটার,6.75 বর্গ সেন্টিমিটার,7.50 বর্গ সেন্টিমিটার,A
648,কোন দন্ডের তাপীয় পরিবাহীতা নির্ভর করে এর-,দৈর্ঘ্যের উপর,ভরের উপর,প্রস্থচ্ছেদের ক্ষেত্রফলের উপর,দন্ডের উপাদানের উপর,D
649,সরল ছন্দিত স্পন্দনে বিস্তার A হলে স্পন্দিত কণার বিভব শক্তি সর্বোচ্চ হবে যখন সরণ-,A,A/2,A/√2,0,A
650,75% দক্ষতা সম্পন্ন একটি মোটরের ক্ষমতা 200W । এটি প্রতি সেকেন্ডে কত জুল কাজ করে?,150J,75J,266.7,50J,A
651,কোনো তাপ ইঞ্জিনে তাপ গৃহীত বা বর্জিত হয় না তাহলে দক্ষতা কত হবে?,1%,0%,100%,30%,C
652,একটি হাইড্রোলিক প্রেসে ছোট পিস্টনে বল প্রয়োগ করা হলো। পিস্টন দুটির ব্যাসদ্বয়ের অনুপাত 5:1 হলে বড় পিস্টনে 50 N কত বলে অনুভুত হবে?,1050 kg-wt,1150 kg-wt,1250 kg-wt,1260 kg-wt,C
653,একটি বস্তুকে অবতল দর্পণ থেকে 18cm দূরে স্থাপন করা হল। ফোকাস দূরত্ব কত হলে 5 গুণ বিবর্ধিত প্রতিবিম্ব পাওয়া যাবে?,18 cm,15 cm,25 cm,23 cm,B
654,"একটি ইঞ্জিন 800 K এবং 400 K তাপমাত্রায় যে দক্ষতায় কাজ করে, ঠিক সম দক্ষতায় কাজ করে TK এবং 900 K তাপমাত্রায়। তাপমাত্রা T এর মান -",400 K,1800 K,1345.85 K,673 K,B
655,ট্রান্সফরমার পরিবর্তন করে-,কম্পন,শক্তি,তাপশক্তি,বিভব পার্থক্য,D
656,একটি তরঙ্গের দুটি বিন্দুর মধ্যে দশা পার্থক্য 3π হলে পথ পার্থক্য হবে—,λ/2 ,λ,(3λ)/2,2λ,C
657,12 V তড়িচ্চালক শক্তি এবং 0.1Ω অভ্যন্তরীণ রোধের একটি ব্যাটারিকে একটি বৈদ্যুতিক মটরের সাথে সংযুক্ত করলে ব্যাটিরির প্রান্তদ্বয়ের বিভব পার্থক্য দাঁড়ায় 7.0 V । মোটরের সরবরাহকৃত কারেন্টের মান কত?,50A,70 A,120 A,190A,A
658,একটি রেফ্রিজারেটরের কার্যসম্পাদন সহগ 2.5। একটি শীতল তাপাধার হতে প্রতি চক্রে 300J তাপ গ্রহণ করে। রেফ্রিজারেটর চালানোর জন্য প্রতি চক্রে বাইরে থেকে কি পরিমান কাজ সম্পাদন করতে হবে?,120 J,240 J,2.5300J2.5300J,কোনোটিই নয়,A
659,একটি কৃষ্ণ বস্তু 28.98 K এ রাখা আছে। ভীনের ধ্রুবক `28.98xx10^-4mK` হলে উহার সর্বোচ্চ বিকীর্ণ শক্তির তরঙ্গদৈর্ঘ্যে কত?,1m,1cm,0.1mm,28.98cm,C
660,একটি নভোদূরবীক্ষণ যন্ত্রের অভিলক্ষ্য ও অভিনেত্রের ফোকাস দূরত্ব যথাক্রমে 50cm ও 5cm। স্বাভাবিক দর্শনে ফোকাসিং এর ক্ষেত্রে এর দ্বারা সৃষ্ট বিবর্ধন কত?,55,45,15,10,D
661,দ্বি-চিড় পরীক্ষায় এক বর্ণী আলোক দ্বারা গঠিত ব্যতিচার ঝালরের প্রস্থ 1.33mm । সমস্ত ব্যবস্থাটিকে পানিতে নিমজ্জিত করলে(μ =1.33 )ঝালর প্রস্থ হবে-,1.33mm,1 mm,(1.33)2 mm ,1.332mm1.332mm,B
662,অনুভূমিকের সাথে 30oকোন করে ভূ-পৃষ্ঠ থেকে 40ms-1বেগে একটি বুলেট ছোড়া হলো। বুলেটটি 30m দূরে অবস্থিত একটি দেয়ালকে কত উচ্চতায় আঘাত করবে?,13.64m,14.64m,15.5m,15.5m,A
663,ট্রানজিস্টর অ্যামপ্লিফায়ারের ব্যবহার নয় কোনটি?,অ্যালার্ম সার্কিট,ইন্টারকম,বৈদ্যুতিক পাখা,রেডিও,C
664,আহিত ধারকে মোট শক্তির পরিমাণ নয় কোনটি?,`U=1/2CV^2`,`U=1/2 .Q^2/C`,`U=1/2 QV`,`U= 1/2. Q^2/V`,B
665,একটি হাতুড়ির ভর 1 kg । এটি 10 ms-1 বেগে চলে একটি পেরেকের মাথায় আঘাত করল। এতে পেরেকের সরণ হলো 2 cm ।,100 J,50 J,10 J,0.2 J,B
666,লন রোলার টানার ক্ষেত্রে রোলারের ওজন কেমন হয়?,Fcosθ,Fsinθ-W,W-Fcosθ,W-Fsinθ,D
667,সমুদ্রে নােঙর করা একটি জাহাজের ক্যাপ্টেন লক্ষ করেন যে ঢেউয়ের শীর্ষগুলাে পরস্পর থেকে 16 m দূরে এবং প্রতি 2 sec পর পর একটি ঢেউ আসছে। ঢেউগুলাের বেগ কত?,32 ms-1,16 ms-1,8 ms-1,4 ms-1,C
668,যদি একটি স্থির তরঙ্গের তরঙ্গদৈর্ঘ্য 40 cm হয় তবে দুটি পাশাপাশি সুস্পন্দ বা নিষ্পন্দ বিন্দুর মধ্যকার দূরত্ব হবে --,20 cm,10 cm,40 cm,80 cm,A
669,16 kg ভরের একটি স্থির বোমা বিস্ফোরিত হয়ে 4 kg ও 12 kg এর দুটি খণ্ড হল। 12 kg ভরের টুকরোটির ভরবেগ 48 kgms-1 হলে অন্য টুকরাটির গতিশক্তি কত?,48 J,144 J,288 J,192 J,C
670,জাতীয় সংসদ ভবনের স্থপতি কে?,হামিদুর রহমান,মাইনুল হোসেন,হেনরি এন উইলকিস,লুই আই কান,D
671,একই পাদবিন্দুবিশিষ্ট ভেক্টরসমূহকে কী বলে?,সম-প্রারম্ভিক ভেক্টর,সমতলীয় ভেক্টর,সমরেখ ভেক্টর,সীমাবদ্ধ ভেক্টর,A
672,"একটি সুরশলাকার কম্পাংক 400 Hz । এই সুরশালাকা 48 বার কম্পনে যে সময় লাগে, সেই সময় শব্দ 40 m দূরত্ব অতিক্রম করলে শব্দের বেগ কত?",203.3 ms-1,333.3 ms-1,323.3 ms-1,313.3 ms-1,B
673,18 μC এবং 9 μC দুটি চার্জ পরস্পর হতে 14cm দূরে অবস্থিত। এদেরকে 9cm দূরে নিয়ে আসতে কতটুকু কাজ করতে হবে?,8.46 J,1.234 J,4.32 J,5.787 J,D
674,"একটি ঘড়ির সেকেন্ড, মিনিট, ঘন্টার কাটাঁর কৌণিক বেগের অনুপাত-",720:60:1,1:60:720,0.058333333,720:12:01,D
675,নিচের কোনটি অক্ষীয় ভেক্টরের উদাহরণ?,কৌণিক বেগ,সরণ,ভরবেগ,বল,A
676,রেকটিফায়ার হিসেবে ডায়োড রুপান্তর করে -,এসি থেকে ডিসি,অস্থির এসি থেকে স্থির ডিসি,ডিসি থেকে এসি,উচ্চ বিভব থেকে নিম্ন বিভব,A
677,তেজস্ক্রিয়তার এসআই একক কী?,কুরি,বেকেরেল,রন্টজেন,রাদারফোর্ড,B
678,100 kg ভরের একটি বস্তুকে ক্রেনের সাহায্যে 10 cms−1 বেগে ছাদের উপর উঠালে ক্রেনের ক্ষমতা কত?,0.98 W,10 W,98 W,9800 W,C
679,একটি মিটার ব্রীজের দুই শূন্য স্থানের বামটিতে 2Ω এবং ডানটিতে 3Ω রোধ যুক্ত করা হল। ভারসাম্য বিন্দুর অবস্থান বাম প্রান্ত থেকে কত দূরে হবে ?,40 cm,30 cm,50 cm,80 cm,A
680,500g ভরের একটি বস্তুকে স্থির অবস্থান থেকে 2N বল প্রয়োগ করিয়া 1m দূরত্বে সরানো হলো। বস্তুটির উপর কি পরিমাণ কাজ করা হলো?,2J,9.8J,4.9J,.5J,A
681,ঘড়ির সেকেন্ডের কাঁটার কৌণিক বেগ কত?,`(2pi)/720 rads^-1`,`(pi)/30 rads^-1`,`(pi)/360 rads^-1`,`(pi)/2160 rads^-1`,B
682,নিউটনের গতিসূত্র প্রয়োগ করা যায় যখন বস্তুর বেগ আলোর বেগের তুলনায়-,সমানুপাতিক থাকে,প্রায় কাছাকাছি থাকে,ব্যস্তানুপাতিক,অনেক কম থাকে,D
683,100Ω একটি গ্যালভানোমিটার 10 mA তড়িৎ প্রবাহ নিরাপদে গ্রহণ করতে পারি। 10 A তড়িৎ প্রবাহ মাপার জন্য কত ওহম রোধের একটি শান্টের দরকার হবে?,0.01,0.1,1,10,B
684,একটি কোষের তড়িচ্চালক শক্তি 3.5V এবং অভ্যন্তরীণ রোধ 1Ω । কোষের প্রান্তদ্বয় 6Ω দ্বারা যুক্ত করলে কত বিদ্যুৎ প্রবাহিত হবে?,0.5A,5A,3A,4A,A
685,একই তাপমাত্রায় সিলেট অপেক্ষা কুয়াকাটায় বেশি অস্বস্তিকর বোধ হয় কারণ --,সমুদ্রপৃষ্ঠ হতে সিলেটের উচ্চতা কুয়াকাটার চেয়ে বেশি,সমুদ্রপৃষ্ঠ হতে সিলেট বহুদূরে,বিষুব রেখা হতে সিলেট বেশী দূরে,কোনোটিই নয়,B
686,কুণ্ডলীর প্যাঁচ সংখ্যা বৃদ্ধি করতে থাকলে কুণ্ডলীর চৌম্বক ভ্রামকের কোন ধরনের পরিবর্তন ঘটে?,বৃদ্ধি পায়,হ্রাস পায়,কোন পরিবর্তন ঘটে না,"প্রথমে হ্রাস পায়, পরে বৃদ্ধি পায়",A
687,নিচের কোনটির ঘনত্ব সবচেয়ে বেশি ?,পৃথিবী,সূর্য,তারকা,কৃষ্ণবিবর,D
688,"একটি পানিপূর্ণ কুয়ার দৈর্ঘ্য 5 m, প্রস্থ 3 m ও গভীরতা 10 m। একটি পাম্প 20 মিনিটে কুয়াটিকে পানিশূন্য করেত পারে। পাম্পটির অশ্বক্ষমতা কত?",4.2 HP,8.2 HP,5.5 HP,6.6 HP,B
689,4kg ভরের একটি বস্তু সম্পূর্ণরূপে শক্তিতে রূপান্তরিত হলে শক্তির পরিমাণ হবে___,3.6×1015J,3.6×1016J,3.6×1017J,3.6×1018J,C
690,18oC তাপমাত্রায় H2 অণুর গড় বেগ কত?,1905ms−1,1755.12ms−1,1555.43ms−1,1802ms−1,B
691,বায়ুমণ্ডলের জলীয়বাষ্পের ঘনীভবনের জন্য নিচের কোনটি সংঘটিত হয়?,শিশির,কুয়াশা,ঝড়,বৃষ্টি,C
692,নিচের কোন নিউক্লিয়াসে প্রোটন ও নিউট্রন সংখ্যা সমান?,13Al27,3Li7,2He4,1H1,C
693,হাইড্রোজেন পরমাণুর ইলেকট্রন 5×10-11 m ব্যাসার্ধের বৃত্তাকার পথে প্রতি সেকেন্ডে 6.8×1015 বার ঘুরছে। বৃত্তের কেন্দ্রে চৌম্বক ক্ষেত্রের মান হবে-,2.01×10-15 Wb/m2,13.67 Wb/m2,8.54Wb/m2,12.56Wb/m2,B
694,কোন তাপমাত্রায় কেলভিন ও ফারেনহাইট স্কেলে একই পাঠ পাওয়া যায়?,574.25° F,273.16 K,374.25° F,375 K,A
695,একটি গাড়ি চলতে থাকলে তার টায়ারের মধ্যে দিয়ে কিছু তাপগতি প্রক্রিয়া চলে। এই প্রক্রিয়াটি হল-,সমোষ্ণ প্রক্রিয়া,রুদ্ধতাপীয় প্রক্রিয়া,ধ্রুব আয়তন প্রক্রিয়া,ধ্রুব চাপীয় প্রক্রিয়া,C
696,"অভিকর্ষীয় ত্বরণ ধ্রুবক হলে, কোনো বস্তুর মুক্তিবেগের সাথে ওই গ্রহের ব্যাসার্ধের সম্পর্ক হচ্ছে-",সমানুপাতিক,বর্গমূলের সমানুপাতিক,ব্যস্তানুপাতিক,বর্গমূলের ব্যস্তানুপাতিক,B
697,"→A=ˆi,→B=2ˆi+ˆk,A→=i^,B→=2i^+k^,→AA→ ও →BB→ -এর মধ্যবর্তী কোণ-",25.12°,26.57°,90.67°,180.25°,B
698,`vecA=21hati-13hatJ` এবং `vecB=7hatk` হলে ভেক্টরদ্বয়ের মধ্যবর্তী কোণ কত?,0o,63.5o,90o,120o,C
699,t=0 সময়ে সরলদোলন গতিসম্পন্ন কোনো বস্তুর দশাকে বলা হবে-,কৌণিক দশা,রৈখিক দশা,আদি দশা,তাৎক্ষণিক দশা,C
700,একটি বস্তু কণার মোট শক্তি এর স্থির অবস্থান শক্তির তিনগুন । বস্তুটির দ্রুতি বের কর?,2.78 X 108 cm/sec,8.4 X 108 cm/sec ,3.0 X 108 cm/sec ,2.83 X 108 cm/sec,D
701,কার কম্পাঙ্ক সর্বাধিক ?,গামা রশ্মি,এক্স রশ্মি,রেডিও তরঙ্গ,অবহিত তরঙ্গ,A
702,গতিশক্তির মাত্রা কোনটি?,ML2T2,`ML^2T^-1`,`ML^2T^-2`,`ML^-2T^2`,C
703,"কাচ উপাদানের প্রতিসরাঙ্ক 0.5 হলে, একটি কাচ স্ন্যাবের সংকট কোণ কত হবে?",π/4,π/3,π/2,π/6,D
704,কৃষ্ণবস্তুর তাপমাত্রা দ্বিগুণ করলেই বিকিরণ হার কত গুণ বৃদ্ধি পাবে?,16,2,4,10,A
705,a এর মান কত হলে →A=2ˆi+aˆj+ˆkA→=2i^+aj^+k^ এবং →E=4ˆi−2ˆj−2ˆkE→=4i^-2j^-2k^ ভেক্টরদ্বয় পরস্পর লম্ব হবে?,3,5,9,11,A
706,100V ব্যাটারির অভ্যন্তরীণ রোধ 5Ω । একটি ভোল্টমিটারে ঐ ব্যাটারির তড়িৎচ্চালক শক্তি মাপা হলে 30% ত্রুটি দেখা যায়। ভোল্টমিটারের রোধ কত?,2.143 Ω,11.67 Ω,1.5 Ω,3.5 Ω,B
707,গ্রাম এককে একটি ইলেকট্রনের ভর কত?,2.6 x 10-19,9.1 x 10-31,9.1 x 10-19,9.1 x 10-28,D
708,5kg ভরের একটি কণার ত্বরণ `veca=(5hati-3hatj-2hatk)` ms-2 এবং কণাটির সরণ `vecr=(3hati+2hatj+hatk)` m হলে সম্পাদিত কাজের পরিমাণ কত?,35 J,25 J,28 J,7 J,A
709,g-এর মান কোথায় সর্বাধিক?,মেরু অঞ্চলে,বিষুব রেখায়,ভূ-কেন্দ্রে,ভূ-পৃষ্ঠ হতে অনেক দূরে,A
710,2m ফোকাস দৈর্ঘ্য বিশিষ্ট একটি উত্তল দর্পনের সামনে 6m দূরত্বে অবস্থিত বস্তুর প্রতিবিম্বটির বিবর্ধন M কত হবে?,M=1/4,M=∞,M=1/2,M=0,A
711,অক্সিজেনের ত্রৈধবিন্দু 54.3584 অর্থ ?,অক্সিজেন তরলে পরিণত হবে,অক্সিজেন ৩-ডাইমেনশনে পাওয়া যাবে,এটি তাপমাত্রার পরম স্কেল,কোনটিই নয়,B
712,0°C তাপমাত্রার কোন গ্যাসের চাপ 5×105 Pa হলে 80°C তাপমাত্রায় এর চাপ কত হবে?,6.465×105Pa,6.465×106Pa,6.465×107Pa,6.455×108Pa,A
713,নিঃসরণ গ্রেটিং-এ প্রতি সেন্টিমিটারে কতটি দাগ থাকে?,"75,000 টি","20,000টি","10,000টি","50,000টি",C
714,সূর্য থেকে আলো পৃথিবীতে আসতে সময় লাগে প্রায়,2 min,4 min,8 min,16 min,C
715,ব্যতিচার কয় ধরনের?,2,5,3,4,A
716,নিচের বিক্রিয়ায় X কণাটি কী?,ইলেকট্রন,প্রোটন,নিউট্রন,ফোটন,B
717,কোনো চিড়ের প্রস্থ 4 × 10-4 cm । 5896 Å তরঙ্গদৈর্ঘ্যবিশিষ্ট আলো দিয়ে একে আলোকিত করলে কেন্দ্রীয় চরমের উভয় পার্শ্বে প্রথম ক্রম অবমগুলোর মধ্যবর্তী কৌণিক দূরত্ব নির্ণয় করো।,17.26°,18°,16.95°,8.44°,C
718,"যে মাধ্যমের প্রতিসরণাঙ্ক বেশি, সে মাধ্যমের আলোকীয় ঘনত্ব তত-",কম,বেশি,সমান,কোনটিই নয়,B
719,একটি গতিশীল ইলেকট্রনের ভর me হলে নিচের কোনটি সঠিক?,me>9.11×10-31 kg,me<9.11×10-31 kg,me=9.11×10-31 kg,me<<9.11×10-31 kg,A
720,সূর্যালোকের বিক্ষেপণের জন্য আকাশ কী রং ধারণ করে?,সাদা,কালো,নীল,সবুজ,C
721,S.I. পদ্ধতিতে Intensity of wave এর একক কোনটি?,Js−1m−2,Js2m−2,Jsm−2,Js−2m−2,A
722,প্রেসার কুকারে সহজে দ্রব্য সিদ্ধ হওয়ার কারণ-,পানির স্ফুটনাঙ্ক 100°C হতে বৃদ্ধি পায়,পানির স্ফুটনাঙ্ক 100°C হতে কমে পায়,পানির পরমাণুর Structure পরিবর্তন হয়,পানি H2 ও O2 এ ভাগ হয়ে যায়,A
723,"ফ্লেমিং এর বাম হস্ত নিয়মে চৌম্বকক্ষেত্র, তড়িৎ প্রবাহ ও চৌম্বক বল নির্দেশ করা হয় যথাক্রমে-","মধ্যমা, তর্জনী ও বৃদ্ধাঙ্গুলি","তর্জনী, মধ্যমা ও বৃদ্ধাঙ্গুলি","তর্জনী, বৃদ্ধাঙ্গুলি ও মধ্যমা","মধ্যমা, বৃদ্ধাঙ্গুলি ও তর্জনী",B
724,আলো বক্রপথে অপটিক্যাল ফাইবারের মধ্য দিয়ে সঞ্চালিত হতে পারে। নিম্নের কোন ঘটনাটি একে ব্যাখ্যা করতে পারে?,বিচ্ছুরণ,অপবর্তন,পূর্ণ-অভ্যন্তরীণ প্রতিফলন,ব্যতিচার,C
725,সরু প্রিজমের ক্ষেত্রে কোনটি সঠিক?,∂ = (i1+i2) -A,∂ = A ( μ -1),∂ = μ ( A-1),∂ = A ( 1- μ),B
726,ফটো তড়িৎ ক্রিয়ায় আলোর প্রাবল্য বাড়ালে-,আপতিত ফোটনের সংখ্যা বাড়ে,ইলেকট্রনের গতিশক্তি বাড়ে,ফোটনের সংখ্যা অপরিবর্তিত থাকে,নির্গত ইলেকট্রনের সংখ্যা কমে,A
727,একটি চাকার ভর 5 kg এবং কোন অক্ষের সাপেক্ষে চক্রগতির ব্যাসার্ধ 0.2 m. এর জড়তার ভ্রামক কত?,0.2 kg-m-2,0.2 kg2m2,0.2 kgm2,0.2 kgm-1,C
728,"লাল, নীল, সবুজ ও কমলা রংয়ের আলোর জন্য কোনো মাধ্যমের প্রতিসরণাঙ্ক যথাক্রমে μR, μv, μGও μ0 হলে- নিচের কোন সম্পর্কটি সঠিক?",μR>μV>μG> μO,μR< μV< μG< μO,μR>μO>μG>μV,μR< μO< μG< μV,D
729,শব্দের তীব্রতা পরিমাপের একক কোনটি ? ,Hz,Wm-2,Wm-1,dB,B
730,প্রত্যাবর্তী প্রক্রিয়ার ক্ষেত্রে সঠিক নয় কোনটি?,Quasi-static,Non-dissipative,Spontaneous,maintain thermodynamical equilibrium,C
731,প্রাসের গতিপথ কোনটি?,প্যারাবোলা,হাইপারবোলা,উপবৃত্তাকার,বৃত্তাকার,A
732,একটি আলোক রশ্মির তরঙ্গদৈর্ঘ্য বায়ুতে 480 nm হলে কাঁচে (μ=1.5) তরঙ্গদৈর্ঘ্য কত?,480 nm,380 nm,320 nm,120 nm,C
733,m ভরের একটি বস্তু h উচ্চতা থেকে ভূমিতে পড়ল। ভূমি থেকে কত উচ্চতায় গতিশক্তি বিভবশক্তির তিনগুণ হবে? ,2h32h3,h2h2,`h/3`,`h/4`,C
734,G= গ্যালভানোমিটার এর রোধ এবং S =শান্টের রোধ হলে শান্ট গুণক হবে-,`(S+G)/S`,`S/(S+G)`,`(S+G)/G`,`G/(S+G)`,B
735,R ও 4R ব্যাসার্ধের বৃত্তাকার কক্ষপথে প্রদক্ষিণরত দুটি কৃত্রিম উপগ্রহের পর্যয়কালের অনুপাত হবে ?--,8:01,4:02,1:04,1:08,D
736,ক্ষমতার মাত্রা সমীকরণ নিচের কোনটি?,`[ML^2T^3]`,`[ML^2T^-3]`,`[ML^2T^-2]`,`[ML^3T^-2]`,B
737,যদি 1 ক্যালরি তাপ সম্পূর্ণভাবে কাজে রুপান্তরিত হয় তাহলে কাজের পরিমাণ কত?,4.2 J,4.8 J,8.2 J,8.4 J,A
738,100g ভর ও -30°C তাপমাত্রার একটি বরফ খন্ডকে তাপ প্রয়োগ করে গলানো শুরু করা হলো। 70s পরে বরফ খন্ড গলে গেলে তার তাপমাত্রা কত?,0°C,60°C,40°C,20°C,A
739,"3Ω,4Ω এবং 12Ω রোধের সমান্তরাল সংযোগের ক্ষেত্রে সমতূল্য রোধ",12Ω,0.67Ω,3Ω,1.5Ω,D
740,নিচের কোনটির গতিশক্তি সবচেয়ে বেশি?,γ-ray ,β-ray ,α-ray ,Sound ,A
741,0°C তাপমাত্রায় 5 gm বরফকে 30°C তাপমাত্রার 20gm পানির সাথে মেশানো হল। মিশ্রণের তাপমাত্রা কোনটি হবে?,18°C,15°C,8°C,10°C,C
742,S = 1/3t3+ 3t; সুত্রানুসারে একটি বস্তু সরল রেখায় চলছে ; 4s পরে এর বেগ কত হবে ?,9,15,19,26,C
743,একটি 70W এর বাতি 8 min জ্বললে ব্যয়িত বিদ্যুৎ শক্তি হবে-,1800 J,16000 J,33600 J,30000 J,C
744,20 N/C প্রাবল্যের একটি তড়িৎ ক্ষেত্রে 10 C চার্জ স্থাপন করা হলো। উক্ত চার্জের উপর বলের মান কত?,100 N,200 N,150 N,250 N,B
745,দশা পার্থক্য সমান-,2π/λ × পথ পার্থক্য ,2πλ × পথ পার্থক্য ,2πv × পথ পার্থক্য,λ/2π × পথ পার্থক্য,A
746,কোনটি সবচেয়ে শক্তিশালী বল?,মহাকর্ষ বল,তড়িৎ চুম্বকীয় বল,সবল নিউক্লীয় বল,দুর্বল নিউক্লীয় বল,C
747,গাছের একটি আপেল পৃথিবীকে F' বলে আকর্ষণ করছে। পৃথিবী আপেলকে F বলে আকর্ষণ করছে। নিচের কোনটি সঠিক?,F=F',F>F',F<F',None,B
748,একটি ফুটবল হঠাৎ ফেটে গেলে বলের অভ্যন্তরের বায়ুর তাপমাত্রা ও আয়তন যথাক্রমে-,কমবে এবং বাড়বে,বাড়বে এবং কমবে,কমবে এবং কমবে,বাড়বে এবং বাড়বে,A
749,লোহার কুরী বিন্দু কোনটি?,400°C,570° C,770°C,1100° C,C
750,আবিষ্ট তড়িচ্চালক শক্তির দিক সম্পর্কে ধারণা দেন কে?,ওয়েরস্টেড,ফ্যারাড,লেঞ্জ,কির্শফ,C
751,কোনো কণার উপর `2hati+5hatj+3hatk` N বল প্রয়োগ করায় কণাটির`5hati-3hatj+3hatk` m সরণ হয়। সম্পাদিত কাজের পরিমাণ কত?,2 N,4 N,6 N,8 N,B
752,নিচের কোনটি Interference এর শর্ত নয়?,উৎস দুটি সুসংগত হতে হবে,তরঙ্গ দুটির বিস্তার সমান হবে,উৎস দুটি পরস্পরের খুব নিকটে,উৎস দুটি বৃহৎ ও সূক্ষ্ম হবে,D
753,যখন কোনো কণার ওপর প্রযুক্ত টর্ক শূন্য তখন নিচের কোন রাশিটি ধ্রুবক হয় ?,বল,কৌণিক ভরবেগ,রৈখিক ভরবেগ,বলের ঘাত,B
754,পৃথিবীর নিট বিভব কত?,1,নেই,0,অসীম,C
755,তাপমাত্রা হ্রাস করলে অর্ধপরিবাহীর–,রোধ হ্রাস পায়,নিষিদ্ধ ব্যবধান হ্রাস পায়,তড়িৎ পরিবাহিতা হ্রাস পায়,তড়িৎ পরিবাহিতা বৃদ্ধি পায়,C
756,1.67×10-27kg ভরের বিশিষ্ট একটিি নিউট্রনের বেগ 4×104 m/s হলে এর গতিশক্তির পরিমাণ-,8.35eV,8.7eV,16.7eV,কোনটিই নয়,A
757,আপেক্ষিক ভেদ্যতা এবং চৌম্বক প্রবণতার মধ্যে সম্পর্ক-,μr= 1-xm,μr= 1+xm,μr= 3(1+xm),μr= 1-2xm,B
758,রকেটের জ্বালানি হিসেবে কোনটি ব্যবহার করা হয়?,তরল নাইট্রোজেন,তরল অক্সিজেন,তরল ব্রোমিন,তরল হাইড্রোজেন,D
759,একটি প্রত্যাবর্তী তড়িৎপ্রবাহকে I= 100 sin 2π t ampere সমীকরণ দ্বারা প্রকাশ করা হয়। তড়িৎপ্রবাহের গড় বর্গীয় বর্গমূলের মান কত?,70.7 A,100 A,50 A,200 A,A
