id,question,A,B,C,D,topic,question_type
660,The focal lengths of the objective and eyepiece of an astronomical telescope are 50cm and 5cm respectively. What is the magnification produced by it for normal vision focusing?,55,45,15,10,Ray Optics,Mathematical
661,In a double-slit experiment; the width of the interference fringe formed by monochromatic light is 1.33mm. If the entire setup is immersed in water (μ = 1.33); the fringe width will be-,1.33mm,1 mm,(1.33)2 mm ,1.332mm1.332mm,Wave Optics,Mathematical
662,A bullet is fired from the ground at a speed of 40ms-1 at an angle of 30o with the horizontal. At what height will the bullet hit a wall located 30m away?,13.64m,14.64m,15.5m,15.5m,Kinematics,Mathematical
663,Which is not a use of a transistor amplifier?,Alarm circuit,Intercom,Electric fan,Radio,Semiconductor Physics,Application
664,Which of the following is not the amount of total energy in a charged capacitor?,`U=1/2CV^2`,`U=1/2 .Q^2/C`,`U=1/2 QV`,`U= 1/2. Q^2/V`,Electrostatics,Theoretical
665,A hammer of mass 1 kg hits the head of a nail at a speed of 10 ms-1. This causes a displacement of the nail by 2 cm.,100 J,50 J,10 J,0.2 J,Work and Energy,Mathematical
666,When pulling a lawn roller; what is the effective weight of the roller?,Fcosθ,Fsinθ-W,W-Fcosθ,W-Fsinθ,Laws of Motion,Reasoning
667,The captain of a ship anchored at sea notices that the wave crests are 16 m apart and a wave arrives every 2 sec. What is the velocity of the waves?,32 ms-1,16 ms-1,8 ms-1,4 ms-1,Waves,Mathematical
668,If the wavelength of a stationary wave is 40 cm; then the distance between two adjacent antinodes or nodes will be --,20 cm,10 cm,40 cm,80 cm,Waves,Theoretical
669,A stationary bomb of 16 kg mass explodes into two pieces of 4 kg and 12 kg. If the momentum of the 12 kg piece is 48 kgms-1; what is the kinetic energy of the other piece?,48 J,144 J,288 J,192 J,Laws of Motion,Mathematical
670,Who is the architect of the National Parliament House?,Hamidur Rahman,Mainul Hossain,Henry N. Wilkis,Louis I. Kahn,Miscellaneous,Miscellaneous
671,What are vectors with the same initial point called?,Co-initial vectors,Coplanar vectors,Collinear vectors,Localized vector,Vectors,Definition
672,A tuning fork has a frequency of 400 Hz. If sound travels 40 m in the time it takes for the tuning fork to complete 48 vibrations; what is the speed of sound?,203.3 ms-1,333.3 ms-1,323.3 ms-1,313.3 ms-1,Waves,Mathematical
673,Two charges of 18 μC and 9 μC are 14cm apart from each other. How much work has to be done to bring them 9cm apart?,8.46 J,1.234 J,4.32 J,5.787 J,Electrostatics,Mathematical
674,The ratio of the angular velocities of the second; minute; and hour hands of a clock is-,720:60:1,1:60:720,0.058333333,720:12:01,Rotational Motion,Mathematical
675,Which of the following is an example of an axial vector?,Angular velocity,Displacement,Momentum,Force,Vectors,Definition
676,As a rectifier; a diode converts -,AC to DC,Unstable AC to stable DC,DC to AC,High potential to low potential,Semiconductor Physics,Application
677,What is the SI unit of radioactivity?,Curie,Becquerel,Roentgen,Rutherford,Nuclear Physics,Definition
678,If an object of 100 kg mass is lifted onto a roof by a crane at a velocity of 10 cms−1; what is the power of the crane?,0.98 W,10 W,98 W,9800 W,Work and Energy,Mathematical
679,In a meter bridge; a 2Ω resistance is connected to the left gap and a 3Ω resistance to the right gap. How far from the left end will the balance point be?,40 cm,30 cm,50 cm,80 cm,Current Electricity,Mathematical
680,A 2N force is applied to a 500g object from a stationary position to move it a distance of 1m. What is the amount of work done on the object?,2J,9.8J,4.9J,.5J,Work and Energy,Mathematical
681,What is the angular velocity of the second hand of a clock?,`(2pi)/720 rads^-1`,`(pi)/30 rads^-1`,`(pi)/360 rads^-1`,`(pi)/2160 rads^-1`,Rotational Motion,Mathematical
682,Newton's laws of motion can be applied when the velocity of an object is ____ compared to the speed of light.,proportional,almost close,inversely proportional,much less,Laws of Motion,Theoretical
683,A 100Ω galvanometer can safely accept a current of 10 mA. What resistance in ohms is needed for a shunt to measure a current of 10 A?,0.01,0.1,1,10,Current Electricity,Mathematical
684,A cell has an electromotive force of 3.5V and an internal resistance of 1Ω. If the terminals of the cell are connected by a 6Ω resistor; how much current will flow?,0.5A,5A,3A,4A,Current Electricity,Mathematical
685,At the same temperature; it feels more uncomfortable in Kuakata than in Sylhet because --,Sylhet's altitude from sea level is higher than Kuakata's,Sylhet is far from the sea,Sylhet is farther from the equator,None of these,Thermodynamics,Reasoning
686,If the number of turns in a coil is increased; what kind of change occurs in the magnetic moment of the coil?,Increases,Decreases,No change occurs,First decreases; then increases,Magnetism,Theoretical
687,Which of the following has the highest density?,Earth,Sun,Star,Black hole,Properties of Matter,Theoretical
688,A well full of water is 5 m long; 3 m wide; and 10 m deep. A pump can empty the well in 20 minutes. What is the horsepower of the pump?,4.2 HP,8.2 HP,5.5 HP,6.6 HP,Work and Energy,Mathematical
689,If a 4kg mass is completely converted into energy; the amount of energy will be___,3.6×1015J,3.6×1016J,3.6×1017J,3.6×1018J,Relativity,Mathematical
690,What is the average speed of H2 molecules at a temperature of 18oC?,1905ms−1,1755.12ms−1,1555.43ms−1,1802ms−1,Kinetic Theory,Mathematical
691,Which of the following occurs due to the condensation of water vapor in the atmosphere?,Dew,Fog,Storm,Rain,Thermodynamics,Application
692,In which of the following nuclei is the number of protons and neutrons equal?,13Al27,3Li7,2He4,1H1,Nuclear Physics,Theoretical
693,The electron of a hydrogen atom is revolving 6.8×1015 times per second in a circular path of radius 5×10-11 m. The magnetic field at the center of the circle will be-,2.01×10-15 Wb/m2,13.67 Wb/m2,8.54Wb/m2,12.56Wb/m2,Magnetism,Mathematical
694,At what temperature do the Kelvin and Fahrenheit scales show the same reading?,574.25° F,273.16 K,374.25° F,375 K,Thermodynamics,Mathematical
695,When a car is moving; a certain thermodynamic process occurs within its tires. This process is-,Isothermal process,Adiabatic process,Constant volume process,Constant pressure process,Thermodynamics,Application
696,If the gravitational acceleration is constant; the relationship of a body's escape velocity with the radius of that planet is-,proportional,proportional to the square root,inversely proportional,inversely proportional to the square root,Gravitation,Reasoning
697,What is the angle between the vectors →A=ˆi and →B=2ˆi+ˆk?,25.12°,26.57°,90.67°,180.25°,Vectors,Mathematical
698,If `vecA=21hati-13hatJ` and `vecB=7hatk`; what is the angle between the two vectors?,0o,63.5o,90o,120o,Vectors,Mathematical
699,The phase of an object in simple harmonic motion at time t=0 is called-,Angular phase,Linear phase,Initial phase,Instantaneous phase,Oscillations,Definition
700,The total energy of a particle is three times its rest energy. Find the speed of the object.,2.78 X 108 cm/sec,8.4 X 108 cm/sec ,3.0 X 108 cm/sec ,2.83 X 108 cm/sec,Relativity,Mathematical
701,Which has the highest frequency?,Gamma ray,X-ray,Radio wave,Infrared wave,Electromagnetic Waves,Theoretical
702,What is the dimension of kinetic energy?,ML2T2,ML^2T^-1,ML^2T^-2,ML^-2T^2,Units and Dimensions,Definition
703,If the refractive index of glass is 0.5; what will be the critical angle of a glass slab?,π/4,π/3,π/2,π/6,Ray Optics,Mathematical
704,If the temperature of a black body is doubled; by how many times will the radiation rate increase?,16,2,4,10,Thermodynamics,Mathematical
705,For what value of a will the vectors ?A=2ˆi+aˆj+ˆk and ?E=4ˆi?2ˆj?2ˆk be perpendicular to each other?,3,5,9,11,Vectors,Mathematical
706,The internal resistance of a 100V battery is 5?. If the electromotive force of the battery is measured with a voltmeter; a 30% error is observed. What is the resistance of the voltmeter?,2.143 Ω,11.67 Ω,1.5 Ω,3.5 Ω,Current Electricity,Mathematical
707,What is the mass of an electron in grams?,2.6 x 10-19,9.1 x 10-31,9.1 x 10-19,9.1 x 10-28,Atomic Physics,Theoretical
708,If the acceleration of a particle of mass 5kg is `veca=(5hati-3hatj-2hatk)` ms-2 and its displacement is `vecr=(3hati+2hatj+hatk)` m; what is the amount of work done?,35 J,25 J,28 J,7 J,Work and Energy,Mathematical
709,Where is g maximum?,At the poles,At the equator,At the center of the Earth,Far from the Earth's surface,Gravitation,Theoretical
710,An object is placed 6 m in front of a convex mirror of focal length 2 m; what is the magnification M?,M=1/4,M=∞,M=1/2,M=0,Ray Optics,Mathematical
711,What does the trivalent point of oxygen 54.3584 mean?,Oxygen will liquefy,Oxygen will be available in 3D,It is the absolute temperature scale,None of these,Thermodynamics,Definition
712,If the pressure of a gas at 0°C temperature is 5×105 Pa; what will its pressure be at 80°C temperature?,6.465×105Pa,6.465×106Pa,6.465×107Pa,6.455×108Pa,Thermodynamics,Mathematical
713,In a diffraction grating; how many lines per centimeter?,75000,20000,10000,50000,Wave Optics,Theoretical
714,Time taken for sunlight to reach Earth is approximately,2 min,4 min,8 min,16 min,Astronomy,Theoretical
715,How many types of deviation exist?,2,5,3,4,Ray Optics,Theoretical
716,In the following reaction; what is particle X?,Electron,Proton,Neutron,Photon,Nuclear Physics,Reasoning
717,The width of a slit is 4 × 10-4 cm. If it is illuminated by light of wavelength 5896 Å; find the angular distance between the first-order minima on both sides of the central maximum.,17.26°,18°,16.95°,8.44°,Wave Optics,Mathematical
718,In a medium with higher refractive index; light density is,Less,More,Equal,None,Ray Optics,Theoretical
719,For a moving electron of mass me; which is correct?,me>9.11×10-31 kg,me<9.11×10-31 kg,me=9.11×10-31 kg,me<<9.11×10-31 kg,Modern Physics,Theoretical
720,What color does the sky appear due to scattering of sunlight?,White,Black,Blue,Green,Wave Optics,Reasoning
721,In S.I. system; what is the unit of intensity of wave?,Js−1m−2,Js2m−2,Jsm−2,Js−2m−2,Units and Dimensions,Definition
722,Why does a pressure cooker cook food faster?,Boiling point of water increases above 100Â°C,Boiling point of water decreases below 100Â°C,Structure of water molecules changes,Water splits into H2 and O2,Thermodynamics,Application
723,According to Fleming's left-hand rule; what do magnetic field; current and force represent respectively?,"Middle finger, index finger, thumb","Index finger, middle finger, thumb","Index finger, thumb, middle finger","Middle finger, thumb, index finger",Magnetism,Definition
724,Light can travel along a curved path in an optical fiber; which phenomenon explains this?,Refraction,Diffraction,Total internal reflection,Deviation,Ray Optics,Application
725,For a thin prism; which relation is correct?,∂ = (i1+i2) -A,∂ = A ( μ -1),∂ = μ ( A-1),∂ = A ( 1- μ),Ray Optics,Theoretical
726,In photoelectric effect; if light intensity increases,number of incident photons increases,kinetic energy of electrons increases,number of photons remains unchanged,number of emitted electrons decreases,Modern Physics,Theoretical
727,A wheel has mass 5 kg and radius of gyration 0.2 m; what is its moment of inertia about the axis?,0.2 kg-m-2,0.2 kg2m2,0.2 kgm2,0.2 kgm-1,Rotational Motion,Mathematical
728,If the refractive indices of a medium for red; blue; green and orange light are ?R; ?V; ?G and ?O respectively- which of the following relations is correct?,μR>μV>μG> μO,μR< μV< μG< μO,μR>μO>μG>μV,μR< μO< μG< μV,Ray Optics,Comparison
729,What is the unit of sound intensity?,Hz,Wm^-2,Wm^-1,dB,Waves,Definition
730,Which is not true for a reversible process?,Quasi-static,Non-dissipative,Spontaneous,Maintains thermodynamic equilibrium,Thermodynamics,Theoretical
731,What is the trajectory of a projectile?,Parabola,Hyperbola,Ellipse,Circle,Kinematics,Theoretical
732,If the wavelength of a light ray in air is 480 nm; what is its wavelength in glass (?=1.5)?,480 nm,380 nm,320 nm,120 nm,Wave Optics,Mathematical
733,A body of mass m falls from height h; at what height will kinetic energy be three times the potential energy?,2h/3,2h/3,h/2,h/4,Work and Energy,Mathematical
734,If G is the galvanometer resistance and S is the shunt resistance; what is the shunt factor?,(S+G)/S,S/(S+G),(S+G)/G,G/(S+G),Current Electricity,Definition
735,Two satellites revolve in circular orbits of radius R and 4R; what is the ratio of their periods?,(8/1),(4/2),(1/4),(1/8),Gravitation,Mathematical
736,Which is the dimensional formula of power?,[ML^2T^3],[ML^2T^-3],[ML^2T^-2],[ML^3T^-2],Units and Dimensions,Definition
737,If 1 calorie of heat is completely converted to work; what is the work done?,4.2 J,4.8 J,8.2 J,8.4 J,Thermodynamics,Mathematical
738,A 100 g ice block at -30°C starts melting with heat applied; after 70 s when ice melts; what is the temperature?,0°C,60°C,40°C,20°C,Thermodynamics,Reasoning
739,In the case of a parallel connection of 3?; 4? and 12? resistors; the equivalent resistance is,12Ω,0.67Ω,3Ω,1.5Ω,Current Electricity,Mathematical
740,Which has the highest kinetic energy?,γ-ray ,β-ray ,α-ray ,Sound ,Work and Energy,Comparison
741,5 gm ice at 0°C is mixed with 20 gm water at 30°C; what is the mixture temperature?,18°C,15°C,8°C,10°C,Thermodynamics,Mathematical
742,If S = 1/3 t^3 + 3t; an object moves in a straight line; what is its velocity after 4 s?,9,15,19,26,Kinematics,Mathematical
743,A 70 W bulb burns for 8 min; how much electrical energy is consumed?,1800 J,16000 J,33600 J,30000 J,Current Electricity,Mathematical
744,In an electric field of 20 N/C; a charge of 10 C is placed; what is the force on the charge?,100 N,200 N,150 N,250 N,Electrostatics,Mathematical
745,Phase difference is equal to,2π/λ × path difference ,2πλ × path difference  ,2πv × path difference ,λ/2π × path difference ,Waves,Definition
746,Which is the strongest force?,Gravitational force,Electromagnetic force,Strong nuclear force,Weak nuclear force,Nuclear Physics,Comparison
747,An apple attracts Earth with force F'; Earth attracts the apple with force F; which is correct?,F=F',F>F',F<F',None,Laws of Motion,Reasoning
748,If a football suddenly bursts; the temperature and volume of air inside change how?,Decrease and increase,Increase and decrease,Decrease and decrease,Increase and increase,Thermodynamics,Reasoning
749,At what temperature does iron melt?,400°C,570°C,770°C,1100°C,Properties of Matter,Theoretical
750,Who gave the concept of direction of induced EMF?,Oersted,Faraday,Lenz,Kirchhoff,Electromagnetic Induction,Historical
751,When a force of `2hati+5hatj+3hatk` N is applied to a particle; its displacement is `5hati-3hatj+3hatk` m. What is the amount of work done?,2 N,4 N,6 N,8 N,Work and Energy,Mathematical
752,Which of the following is not a condition for Interference?,The two sources must be coherent,The amplitudes of the two waves will be equal,The two sources are very close to each other,The two sources will be large and fine,Wave Optics,Theoretical
753,When the torque applied to a particle is zero; which of the following quantities is constant?,Force,Angular momentum,Linear momentum,Impulse of force,Rotational Motion,Theoretical
754,What is the net potential of the Earth?,1,,0,Infinite,Electrostatics,Definition
755,If the temperature of a semiconductor is decreased–,Resistance decreases,The forbidden gap decreases,Electrical conductivity decreases,Electrical conductivity increases,Semiconductor Physics,Theoretical
756,If the velocity of a neutron with a mass of 1.67×10-27kg is 4×10^4 m/s; what is the amount of its kinetic energy-,8.35eV,8.7eV,16.7eV,None of these,Work and Energy,Mathematical
757,The relationship between relative permeability and magnetic susceptibility is-,μr= 1-xm,μr= 1+xm,μr= 3(1+xm),μr= 1-2xm,Magnetism,Theoretical
758,Which is used as rocket fuel?,Liquid nitrogen,Liquid oxygen,Liquid bromine,Liquid hydrogen,Laws of Motion,Application
759,An alternating current is expressed by the equation I= 100 sin 2π t ampere. What is the root mean square value of the current?,70.7 A,100 A,50 A,200 A,Alternating Current,Mathematical
760,What is the value of the molecular range?,10−7 m,10−11 m,10−5 m,10−10 m,Properties of Matter,Definition
761,For a convex lens with a focal length of 15 cm; if an object is placed 25 cm away; what is the image distance?,37.5 cm,36.5 cm,37 cm,38.5 cm,Ray Optics,Mathematical
762,An object of mass 3 kg is falling from the top of an inclined plane of length 6m and angle sin−1(2/3). If the frictional force is 16N; what is the final velocity? [g=10ms−2],5ms-1,4ms-1,3ms-1,2ms-1,Work and Energy,Mathematical
763,Which equation is used to determine the radius of curvature of a spherical surface?,`R=d/h+h/2`,`R=d^2/2+h/2`,`R=d^2/(6h)+h/2`,`R= d^2/12+h^2/d`,Ray Optics,Theoretical
764,Which is correct for Charles's law?,P ∝ 1/V,P ∝ V,V ∝ T,V ∝ n,Thermodynamics,Theoretical
765,Which is not correct about the acceleration due to gravity g?,Decreases with altitude,Maximum at the center,9.83ms -2 at the poles,Decreases with depth,Gravitation,Theoretical
766,When two magnetic materials are placed in a strong magnetic field; a small amount of magnetism is induced in both cases; but in the first case the direction of magnetization is in the direction of the applied magnetic field and in the second case it is in the opposite direction. The two objects could be -,Diamagnetic and Ferromagnetic,Diamagnetic and Paramagnetic,Paramagnetic and Diamagnetic,Ferromagnetic and Diamagnetic,Magnetism,Reasoning
767,If 2 calories of heat are completely converted into work; what is the amount of work done?,4.2 J,4.8 J,8.2 J,8.4 J,Thermodynamics,Mathematical
768,What is the velocity of an artificial satellite at an altitude of 600 km from the Earth's surface?,6.42 kms−1,8.68 kms−1,7.56 kms−1,9.11 kms−1,Gravitation,Mathematical
769,Which of the following represents the unit of the gravitational constant?,Nm2kg-2,m³kg-1s-1,m²kg-2s-1,Nm-1s-1,Gravitation,Theoretical
770,What is the magnitude of the vector quantity →A=3ˆi+2ˆj−6ˆk?,9,7,49,√7,Vectors,Mathematical
771,Between two capillary tubes; one is narrower than the other. If both are partially immersed vertically in water; the height of the water column is greater inside the narrower tube. The reason for this is-,The air pressure in the narrow tube decreases,The density of water in the narrow tube decreases,The surface tension of water depends on the square of the tube's radius but the weight of the water column depends on the diameter,Here the surface tension of water depends on the diameter of the tube but the weight of the water column depends on the square of the diameter,Fluid Mechanics,Reasoning
772,An electric iron is marked with 220 volts and 1000W. Its resistance will be-,44.8 ohm,60 ohm,40 ohm,48.4 ohm,Current Electricity,Mathematical
773,In Young's double-slit experiment; if the distance between the slits is halved and the distance between the slits and the screen is doubled; what will happen to the fringe width?,Will be doubled,Will be halved,Will be quadrupled,None of these,Wave Optics,Mathematical
774,A particle is projected with a velocity u at a projection angle of 45°. The horizontal range will be how many times the maximum height?,Two times,Three times,Four times,Five times,Kinematics,Mathematical
775,The frequencies of two tuning forks are 128 Hz and 384 Hz respectively. What is the ratio of the wavelengths of the waves produced by the two forks in air?,3:01,1:03,2:01,1:02,Waves,Mathematical
776,If the orbital radii of two satellites are R and 4R respectively; what is the ratio of their periods?,1:16,1:08,0.086111111,16:01,Gravitation,Mathematical
777,A 100 cm long spring expands by 20 cm when a 20 gram mass is hung from it. If the object is pulled and released; the spring oscillates with a period of 0.5 seconds. Determine the linear velocity of the oscillation.,15m/s,2.5m/s,0.1 m/s,0.4m/s,Oscillations,Mathematical
778,With an increase in the mass of a particle; the wavelength –,will increase,will decrease,will remain the same,will be '0',Modern Physics,Theoretical
779,If the moon revolves around the Earth at an average distance of 384400 km from the center of the Earth; then the orbital speed of the moon will be (mass of Earth 6 × 1024 kg) –,1.02 × 102m/s,102× 103 m/s,1.0× 103 m/s,1.04× 106 m/s,Gravitation,Mathematical
780,The magnitude of acceleration of a moving object is,`sin (2pit)`,`-sin (2pit)`,`cos(2pit)`,`-cos (2pit)`,Kinematics,Definition
781,1 kilowatt-hour is equal to—,1000 J,3600 J,6000 J,3.6 × 106 J,Work and Energy,Definition
782,Which of the following statements is incorrect?,1N = 1Kg.m/s2,1J = 1 N/m,1V = 1 J/C,30 mA =0.03A,Miscellaneous,Miscellaneous
783,The half-life of tritium is 12.5 years. After 25 years; how many grams will remain of 1 kg of tritium?,0.5 gm,0.75 gm,0.25 gm,0.125 gm,Nuclear Physics,Mathematical
784,How is the distance traveled by an object moving with constant acceleration from a stationary position related to time?,Proportional,Proportional to the square,Proportional to the square root,Inversely proportional,Kinematics,Theoretical
785,What plays the mediating role in the transmission of electric force?,Electric charge,Point charge,Permittivity,Electric field,Modern Physics,Theoretical
786,0.5 mol of electrons flow through a wire in 45 minutes. What is the total amount of charge that will flow through the wire?,3.011×1023 C,48176 C,1070.58 C,17.84 C,Current Electricity,Mathematical
787,The filament of a car's headlight carries a current of 5A. If the potential difference across the ends is 6V; what is the resistance of the filament?,2.1 ohm,1.25 ohm,1.2 ohm,1.0 ohm,Current Electricity,Mathematical
788,The captain of a ship anchored at sea notices that the crests of the waves are 16 m apart and a wave arrives every 2 s; what is the velocity of the waves?,8ms-1,16ms-1,32ms-1,64ms-1,Waves,Mathematical
789,After two hours; 1/16 of the initial amount of a radioactive substance remains undecayed. The half-life of the substance is-,15 min,30 min,60 min,45min,Nuclear Physics,Mathematical
790,A man can lift a 10 kg mass to a height of 10 m in 20 seconds and another man can lift a 20 kg mass to a height of 20 m in 10 seconds. The ratio of the power of the second man to the first man will be-,4,4-Jan,8,8-Jan,Work and Energy,Mathematical
791,The error in a reading that occurs due to the observer is called-,Random error,Zero error,Instrumental error,Parallax error,Experimental Physics,Definition
792,If the period of a simple pendulum is increased by a factor of √2; what will be the percentage change in its length?,100% increase,200% increase,100% decrease,200% decrease,Oscillations,Mathematical
793,The radiation of energy from an object does not occur continuously - Who is the proponent of this theory or who is the father of quantum theory?,Lord Rutherford,Einstein,Max Planck,Michael Faraday,Modern Physics,Historical
794,A resistor R is connected in series with a cell. When a 120 ohm resistor is connected in parallel with R; the current doubles. What is the value of R?,60 Ω,240 Ω,30 Ω,120 Ω,Current Electricity,Mathematical
795,A swimming pool has a height h. To what depth must it be filled with water so that it appears to be half full?,3/4 h,2/3 h,5/7 h,3/5 h,Ray Optics,Mathematical
796,If an object is allowed to fall freely from a height of 60 m; at what height from the ground will the potential energy be half of the kinetic energy?,10 m,20 m,30 m,40 m,Work and Energy,Mathematical
797,What is the length of one loop in a stationary wave?,λ/2,2λ,λ,λ/4,Waves,Definition
798,The half-life of a radioactive substance is 5y. After how many years will 1/32 of the substance remain unchanged?,10 y,20 y,25 y,30 y,Nuclear Physics,Mathematical
799,Which of the following is not a characteristic of a musical sound?,Pitch,Timbre,Overtones,Intensity,Waves,Theoretical
800,The first three arms of a Wheatstone bridge have resistances of 100; 300; and 24 ohms respectively. What resistance is needed in the fourth arm to balance the bridge?,80 Ω,90 Ω,110 Ω,72 Ω,Current Electricity,Mathematical
801,The purest form of gold is-,20 carat,22 carat,24 carat,14 carat,Miscellaneous,Theoretical
802,In a p-n junction; the diffusion of current will be-,from n side to p side,from p side to n side,on both sides,on neither side,Semiconductor Physics,Theoretical
803,The length of the hour hand of a clock is 2cm. If the length of the second hand is 3cm; what is the ratio of the linear velocities of the tips of the second and hour hands?,(2:1),(1:2),(3:2),(2:3),Rotational Motion,Mathematical
804,On which principle is light transmitted through an optical fiber?,Interference,Diffraction,Scattering,Total internal reflection,Ray Optics,Theoretical
805,At what temperature does fusion occur?,108K,108 C,104 K,107 C,Nuclear Physics,Theoretical
806,An iron sphere of mass 2kg moving horizontally at a speed of 5 m/s hits a wall perpendicularly and returns in the opposite direction at a speed of 3 m/s; The impulse of the force is -,`32kgms^-1`,`16kgms^-1`,`20kgms^-1`,`25kgms^-1`,Laws of Motion,Mathematical
807,A swimmer; swimming at a speed ?2 times the speed of the current; reached the opposite bank of the river straight across. Determine the angle of the swimmer's velocity with the river bank.,120°,130°,135°,65°,Kinematics,Mathematical
808,The two scientists who researched electromagnetic induction are-,Johannes Kepler and Oersted,Jean-Baptiste Biot and FÃ©lix Savart,Edwin Hall and Ampere,Joseph Henry and H. F. E. Lenz,Electromagnetic Induction,Historical
809,What is the color of a tourmaline crystal?,Red,Blue,Light yellow,Light green,Miscellaneous,Theoretical
810,A force acts on a stationary object of mass 4 kg; causing the object to reach a velocity of 30ms-1 in 6 seconds. What is the magnitude of the force?,30 N,20N,18 N,None of these,Laws of Motion,Mathematical
811,The dimension of surface tension is?,[MT-2],[M0L0T-2],[ML2T-2],[M2L-2T],Units and Dimensions,Definition
812,Which is the correct unit of torque?,Dyne/cm2,Nm,N/m,N/m.s,Rotational Motion,Definition
813,Which of the following vectors has the same initial and terminal point?,Collinear vector,Null vector,Unit vector,Coplanar vector,Vectors,Definition
814,The dimensional equation of Young's modulus is -,[Y] = [ML-2 T-1],[Y] = [ ML-1 T-1],[Y]=[ML-1T-2],[Y] = [M-1L-1T-1],Properties of Matter,Definition
815,Who discovered the law of falling bodies?,Archimedes,Galileo,Newton,Kepler,Kinematics,Historical
816,The angle between electric field vector â†’E and electric potential surface is-,0°,45°,90°,180°,Electrostatics,Theoretical
817,Gravitational potential is a-,a scalar quantity,a vector quantity,its unit is Joule/kilogram^2,None of these,Gravitation,Definition
818,Which of the following has a negative temperature coefficient of resistance?,Al,Cu,Si,Bi,Current Electricity,Theoretical
819,Which of the following properties proves that light is a transverse wave?,Interference,Diffraction,Polarization,Reflection,Wave Optics,Theoretical
820,Which is correct for a non-conservative force?,Depends on the position,The work done can be fully recovered,Depends on the path,The work done in a complete cycle is zero,Work and Energy,Definition
821,If a ray of light travelling from water to air is refracted along the water-air interface; what will be the angle of incidence?,0o,90o,45.5o,48.75o,Ray Optics,Reasoning
822,How much,120,134,345,60,Miscellaneous,Miscellaneous
823,What is the relationship between kilowatt-hour and joule?,1 KWh = 1000 J,1 KWh = 6000 J,1 KWh = 3.6×10^6 J,1 KWh = 3600 J,Work and Energy,Definition
824,We use a tester to determine the phase of a power line; The bulb lights up when one end of the tester touches the wire and the other end is touched by hand; The reason is-,The bulb absorbs heat from the body,The human body does not conduct electricity,The bulb gets charged on touching,This completes the circuit,Current Electricity,Application
825,Which is correct for an adiabatic process?,The temperature of the system remains constant,In this process PV=K,The adiabatic curve is steeper than the isothermal curve,It is a slow process,Thermodynamics,Definition
826,If →P=→Q→P=→Q; what is the value of `vecPxx(vecQxxvecP)`?,0,1,P2Q,PA,Vectors,Mathematical
827,The half-life of a radioactive substance is 20 min. The time required for it to decay from 20% to 80% will be-,20 Min,30 Min,40 Min,None of these,Nuclear Physics,Mathematical
828,If ΔIB=0.05 mA and ΔIc=2 mA; what is the value of the current gain?,40,50,4,0.2,Semiconductor Physics,Mathematical
829,If the angle of contact is less than 90o; what will be the state of the liquid in a capillary tube?,It will rise,It will fall,It will rise or fall,It will remain unchanged,Fluid Mechanics,Reasoning
830,What type of electromagnetic radiation is used to destroy cancer cells in the human body?,X-ray,UV,Gamma ray,None of these,Nuclear Physics,Application
831,From which source does the Bangladesh government earn the highest revenue?,Income tax,Land tax,Import-export duty,Value added tax,Miscellaneous,Miscellaneous
832,A parallel plate capacitor is charged such that the potential difference between the plates is V. What should be the potential difference for the stored energy in the capacitor to become double?,√2 V,V/√2,2/V ,2V ,Electrostatics,Mathematical
833,What is the De Broglie wavelength of a 10eV electron?,1240 A°,1 A°,3.88 A°,0.55 A°,Modern Physics,Mathematical
834,A gas molecule travels a distance of 3×10-5 cm through 20 successive collisions. What is the mean free path of the gas molecule?,3×10-6 cm,1.5×10-6 cm,1.5×10-5 cm,2×10-5 cm,Kinetic Theory,Mathematical
835,Which is correct in the case of pushing a lawn roller?,Weight will increase,Weight will decrease,Weight will remain the same,Frictional force will decrease,Laws of Motion,Reasoning
836,If two satellites are revolving in the same orbit and the mass of one is double the other; how many times will the orbital period of the heavier satellite be compared to the other?,Equal,Half,Double,Four times,Gravitation,Reasoning
837,At what speed must a spacecraft travel at a low altitude and parallel to the Earth's surface for its passengers to feel weightlessness?(R=6400km),7.9 Kms-1,7.1 Kms-1,3.5 Kms-1,3.1 kms-1,Gravitation,Mathematical
838,"If →a=ˆi+2ˆj+ˆk,a→=i^+2j^+k^ and →b=3ˆi+ˆj−4ˆkb→=3i^+j^-4k^ are two vector quantities; then what is the value of ∣∣2ˆa−3ˆb∣∣=|2a^-3b^|?",√114,√246,√110,√240,Vectors,Mathematical
839,When two tuning forks A and B are sounded together; 6 beats are produced per second. When A is slightly filed; the number of beats becomes 4. If the frequency of B is 560 Hz; what is the original frequency of A?,566Hz,564 Hz,556 Hz,554 Hz,Waves,Mathematical
840,In which of the following cases will a transformer be a step-up?,Es=Ep,np>ns,Es>Ep,Is>Ip,Alternating Current,Theoretical
841,Which pair of quantities has the same dimension?,Force and Work,Work and Torque,Force and Momentum,None of these,Units and Dimensions,Comparison
842,Two lenses with powers of +12 and -2 diopters are placed in contact with each other. What is the equivalent focal length of this combination?,10 cm,12.5 cm,15 cm,18 cm,Ray Optics,Mathematical
843,What is the angle between the two vectors?,`pi/3`,`pi/2`,`pi`,`pi/4`,Vectors,Mathematical
844,The velocities of three gas molecules are 10; 15; and 20ms-1. What is their root mean square velocity?,15 ms-1,15.5 ms-1,10.5 ms-1,3.87 ms-1,Kinetic Theory,Mathematical
